timestamp,username,action,detail
2025-04-17 21:20:33,admin,logout,
2025-04-17 21:20:39,rafly,login,success
2025-04-17 21:21:00,rafly,change_password,password updated
2025-04-17 21:21:03,rafly,logout,
2025-04-17 21:21:07,admin,login,success
2025-04-17 21:49:22,admin,login,success
2025-04-17 22:13:24,admin,login,success
2025-04-17 22:19:27,admin,login,success
2025-04-17 23:13:37,admin,login,success
2025-04-17 23:36:50,admin,login,success
2025-04-17 23:41:47,admin,login,success
2025-04-18 14:25:55,admin,login,success
2025-04-18 14:25:57,admin,logout,
2025-04-18 14:26:14,admin,login,success
2025-04-18 14:29:57,admin,logout,
2025-04-18 14:30:00,user,login,success
2025-04-18 14:33:36,user,logout,
2025-04-18 14:33:41,admin,login,success
2025-04-18 14:38:34,admin,login,success
2025-04-18 14:39:47,user,login,success
2025-04-18 15:35:32,user,login,success
2025-04-18 15:41:15,user,logout,
2025-04-18 15:41:26,admin,login,success
2025-04-18 15:49:20,user,login,success
2025-04-18 17:02:38,user,login,success
2025-04-18 17:08:09,admin,login,success
2025-04-18 18:02:07,admin,logout,
2025-04-18 18:34:37,admin,login,success
2025-04-18 18:36:12,user,login,success
2025-04-18 18:36:57,user,logout,
2025-04-18 18:37:02,admin,login,success
2025-04-18 18:40:25,admin,logout,
2025-04-18 19:31:46,admin,login,success
2025-04-18 19:32:44,admin,logout,
2025-04-18 19:32:47,user,login,success
2025-04-18 19:54:07,user,logout,
2025-04-18 19:54:10,admin,login,success
2025-04-18 20:00:58,user,login,success
2025-04-19 07:37:52,user,login,success
2025-04-19 07:43:52,user,logout,
2025-04-19 07:43:57,admin,login,success
2025-04-19 07:50:01,admin,logout,
2025-04-19 07:50:12,user,login,success
2025-04-19 07:50:48,user,login,success
2025-04-19 07:52:17,user,login,success
2025-04-19 07:53:12,user,login,success
2025-04-19 07:58:43,user,login,success
2025-04-19 07:58:52,user,logout,
2025-04-19 07:58:59,user,login,success
2025-04-19 07:59:06,user,logout,
2025-04-19 07:59:10,admin,login,success
2025-04-19 08:16:47,user,login,success
2025-04-19 11:04:50,user,login,success
2025-04-19 11:04:55,user,logout,
2025-04-19 11:04:58,admin,login,success
2025-04-19 11:15:59,admin,logout,
2025-04-19 11:16:32,,login,failed
2025-04-19 11:16:37,,login,failed
2025-04-19 11:16:43,,login,failed
2025-04-19 11:16:54,,login,failed
2025-04-19 11:17:11,admin,login,success
2025-04-19 11:17:17,admin,logout,
2025-04-19 11:17:22,a,register,user registered
2025-04-19 11:21:28,,login,failed
2025-04-19 11:22:29,user,login,success
2025-04-19 11:23:03,user,login,success
2025-04-19 11:23:06,user,logout,
2025-04-19 11:23:19,new,register,user registered
2025-04-19 11:23:27,new,login,success
2025-04-19 11:23:41,new,logout,
2025-04-19 11:23:45,admin,login,success
2025-04-19 11:28:17,admin,login,success
2025-04-19 11:39:04,admin,logout,
2025-04-19 11:39:08,user,login,success
2025-04-19 11:44:35,user,logout,
2025-04-19 11:44:43,test,register,user registered
2025-04-19 11:44:58,test,login,success
2025-04-19 11:51:29,test,logout,
2025-04-19 11:51:36,tol,register,user registered
2025-04-19 11:54:47,aa,register,user registered
2025-04-19 11:55:07,aa,login,success
2025-04-19 12:00:55,aa,logout,
