date,brand,customers,dept,qty,total_sales
2020-01-01,Alpha Group,Alfamart,CVS,3432.0,71793284.0625
2020-01-01,Alpha Group,Aeon,MMC,138.0,14659267.0
2020-01-01,Alpha Group,Central,MMC,25.0,3865750.0
2020-01-01,Alpha Group,Centro,MMC,80.0,8618141.0
2020-01-01,Alpha Group,Gramedia,MMC,3.0,139790.0
2020-01-01,Alpha Group,Indomaret,CVS,7488.0,162880848.0
2020-01-01,Alpha Group,Indogrosir,CVS,156.0,3393351.0
2020-01-01,Alpha Group,Kidz Station,MMC,6.0,437640.0
2020-01-01,Alpha Group,Metro,MMC,148.0,12184919.0
2020-01-01,Alpha Group,Midi,CVS,2340.0,108784765.265625
2020-01-01,Alpha Group,Nagatomi,MMC,21.0,1955423.0
2020-01-01,Alpha Group,Rita,MMP,36.0,1752660.0
2020-01-01,Alpha Group,Toys Kingdom,MMC,1059.0,87952544.0
2020-01-01,Apolo,Alfamart,CVS,59472.0,1994986655.25
2020-01-01,Apolo,Aeon,MMC,556.0,16446430.0
2020-01-01,Apolo,Brastagi,MMP,72.0,1151539.171875
2020-01-01,Apolo,Central,MMC,84.0,3492230.0
2020-01-01,Apolo,Centro,MMC,320.0,9714334.0
2020-01-01,Apolo,Cimory,MMP,192.0,7167744.0
2020-01-01,Apolo,Grand Lucky,MMP,72.0,2766960.0
2020-01-01,Apolo,Indomaret,CVS,24864.0,879329844.1875
2020-01-01,Apolo,Indogrosir,CVS,624.0,20838859.59375
2020-01-01,Apolo,Metro,MMC,339.0,11759867.0
2020-01-01,Apolo,Midi,CVS,6528.0,241646697.375
2020-01-01,Apolo,Nagatomi,MMC,46.0,1187207.0
2020-01-01,Apolo,Rita,MMP,96.0,3425760.0
2020-01-01,Apolo,Station Samarinda,MMP,384.0,13015780.5
2020-01-01,Apolo,Super Shopping,MMC,41.0,2929245.0
2020-01-01,Apolo,Tb Gramedia,MMP,144.0,2864592.0
2020-01-01,Apolo,Toys Kingdom,MMC,4136.0,113763638.0
2020-01-01,Apolo,Toys Lifestyle,MMP,192.0,6746112.0
2020-01-01,HexBug,Aeon,MMC,41.0,6289823.0
2020-01-01,HexBug,Central,MMC,11.0,1549030.0
2020-01-01,HexBug,Centro,MMC,6.0,580580.0
2020-01-01,HexBug,Metro,MMC,29.0,4582970.0
2020-01-01,HexBug,Nagatomi,MMC,5.0,666778.0
2020-01-01,HexBug,Toys Kingdom,MMC,440.0,58899597.0
2020-01-01,Idoon,Alfamart,CVS,2304.0,40137201.0
2020-01-01,Idoon,Aeon,MMC,110.0,1826438.0
2020-01-01,Idoon,Central,MMC,1.0,17430.0
2020-01-01,Idoon,Centro,MMC,48.0,1462675.0
2020-01-01,Idoon,Character Land,MMC,36.0,933725.0
2020-01-01,Idoon,Gramedia,MMC,8.0,114940.0
2020-01-01,Idoon,Indomaret,CVS,1152.0,19476978.75
2020-01-01,Idoon,Indogrosir,CVS,288.0,4869244.6875
2020-01-01,Idoon,Metro,MMC,48.0,1399726.0
2020-01-01,Idoon,Midi,CVS,288.0,5043147.75
2020-01-01,Idoon,Nagatomi,MMC,9.0,365668.0
2020-01-01,Idoon,Timezone,MMP,672.0,10080000.0
2020-01-01,Idoon,Toys Kingdom,MMC,418.0,6351278.0
2020-01-01,Legend Hero,Alfamart,CVS,91872.0,2307506528.625
2020-01-01,Legend Hero,Aeon,MMC,73.0,6346668.0
2020-01-01,Legend Hero,Central,MMC,9.0,1070370.0
2020-01-01,Legend Hero,Centro,MMC,82.0,8058412.0
2020-01-01,Legend Hero,Indomaret,CVS,12672.0,308893934.25
2020-01-01,Legend Hero,Indogrosir,CVS,384.0,9360422.25
2020-01-01,Legend Hero,Metro,MMC,139.0,12195980.0
2020-01-01,Legend Hero,Midi,CVS,5184.0,130878787.5
2020-01-01,Legend Hero,Nagatomi,MMC,16.0,1686449.0
2020-01-01,Legend Hero,Toys Kingdom,MMC,1343.0,112250843.0
2020-01-01,Maisto,Aeon,MMC,186.0,14167969.0
2020-01-01,Maisto,Books And Beyond,MMC,1.0,209930.0
2020-01-01,Maisto,Brastagi,MMP,72.0,1290683.53125
2020-01-01,Maisto,Central,MMC,15.0,2239344.0
2020-01-01,Maisto,Centro,MMC,86.0,6760743.0
2020-01-01,Maisto,Gramedia,MMC,1.0,17430.0
2020-01-01,Maisto,Grand Lucky,MMP,48.0,3926400.0
2020-01-01,Maisto,Metro,MMC,151.0,10219298.0
2020-01-01,Maisto,Midi,CVS,2304.0,43585758.0
2020-01-01,Maisto,Nagatomi,MMC,10.0,840503.0
2020-01-01,Maisto,Rita,MMP,96.0,6857760.0
2020-01-01,Maisto,Timezone,MMP,227.0,22464000.0
2020-01-01,Maisto,Toys Kingdom,MMC,1736.0,132108082.0
2020-01-01,Maisto,Toys Lifestyle,MMP,96.0,7673856.0
2020-01-01,Mojo,Centro,MMC,11.0,174300.0
2020-01-01,Mojo,Metro,MMC,8.0,139440.0
2020-01-01,Mojo,Nagatomi,MMC,9.0,119550.0
2020-01-01,Mojo,Timezone,MMP,456.0,5472000.0
2020-01-01,Mojo,Toys Kingdom,MMC,54.0,704421.0
2020-01-01,OneAnimation,Alfamart,CVS,13344.0,279140229.75
2020-01-01,OneAnimation,Aeon,MMC,112.0,6125946.0
2020-01-01,OneAnimation,Brastagi,MMP,96.0,1912834.5
2020-01-01,OneAnimation,Central,MMC,19.0,1188670.0
2020-01-01,OneAnimation,Centro,MMC,70.0,4156628.0
2020-01-01,OneAnimation,Indomaret,CVS,7968.0,161767129.6875
2020-01-01,OneAnimation,Indogrosir,CVS,288.0,5847004.6875
2020-01-01,OneAnimation,Metro,MMC,111.0,6212942.0
2020-01-01,OneAnimation,Midi,CVS,2400.0,50465231.25
2020-01-01,OneAnimation,Nagatomi,MMC,43.0,2444716.0
2020-01-01,OneAnimation,Rita,MMP,250.0,9408750.0
2020-01-01,OneAnimation,Station Samarinda,MMP,80.0,3699460.9375
2020-01-01,OneAnimation,Toys Kingdom,MMC,1318.0,63535902.0
2020-01-01,Panasonic,Indomaret,CVS,42804.0,337209688.23046875
2020-01-01,Panasonic,Kidz Station,MMC,2053.0,43923528.0
2020-01-01,Panasonic,Sogo,MMC,342.0,7415040.0
2020-01-01,Panasonic,Toys Kingdom,MMC,46.0,1135483.0
2020-01-01,Shimura,Ada Dept Store,MMP,569.0,14506500.0
2020-01-01,Shimura,Aeon,MMC,244.0,10563679.0
2020-01-01,Shimura,Brastagi,MMP,60.0,2664000.0
2020-01-01,Takara Tomy,Aeon,MMC,3265.0,236505838.0
2020-01-01,Takara Tomy,Books And Beyond,MMC,12.0,727160.0
2020-01-01,Takara Tomy,Brastagi,MMP,192.0,7091562.1875
2020-01-01,Takara Tomy,Central,MMC,173.0,13661642.0
2020-01-01,Takara Tomy,Centro,MMC,316.0,20096084.0
2020-01-01,Takara Tomy,Gramedia,MMC,4.0,195720.0
2020-01-01,Takara Tomy,Grand Lucky,MMP,60.0,2725800.0
2020-01-01,Takara Tomy,Indomaret,CVS,2160.0,101983860.0
2020-01-01,Takara Tomy,Ilotte,MMC,921.0,49308094.0
2020-01-01,Takara Tomy,Kidz Station,MMC,11336.0,559184557.0
2020-01-01,Takara Tomy,Metro,MMC,691.0,39326434.0
2020-01-01,Takara Tomy,Midi,CVS,144.0,6572293.875
2020-01-01,Takara Tomy,Nagatomi,MMC,68.0,4279588.0
2020-01-01,Takara Tomy,Sogo,MMC,1506.0,69582128.0
2020-01-01,Takara Tomy,Station Samarinda,MMP,18.0,5166527.625
2020-01-01,Takara Tomy,Tb Gramedia,MMP,5600.0,207160800.0
2020-01-01,Takara Tomy,Toserba,MMP,468.0,21261240.0
2020-01-01,Takara Tomy,Toys Kingdom,MMC,8701.0,468014357.0
2020-01-01,Takara Tomy,Toys Lifestyle,MMP,6.0,249216.0
2020-01-01,Winx Club,Metro,MMC,1.0,246338.0
2020-01-01,Winx Club,Toys Kingdom,MMC,1.0,133090.0
2020-01-01,Wooky,Centro,MMC,1.0,48930.0
2020-01-01,Wooky,Gramedia,MMC,6.0,220150.0
2020-01-01,Wooky,Metro,MMC,36.0,1100990.0
2020-01-01,Wooky,Nagatomi,MMC,13.0,585643.0
2020-01-01,Wooky,Toys Kingdom,MMC,39.0,862970.0
2020-02-01,Alpha Group,Alfamart,CVS,5460.0,114346683.140625
2020-02-01,Alpha Group,Aeon,MMC,122.0,13272348.0
2020-02-01,Alpha Group,Central,MMC,40.0,4854350.0
2020-02-01,Alpha Group,Centro,MMC,93.0,9937787.0
2020-02-01,Alpha Group,Giant,MMP,10.0,174500.0
2020-02-01,Alpha Group,Gramedia,MMC,1.0,20930.0
2020-02-01,Alpha Group,Indomaret,CVS,6084.0,132340689.0
2020-02-01,Alpha Group,Indogrosir,CVS,1092.0,23753457.0
2020-02-01,Alpha Group,Kkv,MMP,72.0,3235680.0
2020-02-01,Alpha Group,Metro,MMC,133.0,12548351.0
2020-02-01,Alpha Group,Midi,CVS,1992.0,84491390.8125
2020-02-01,Alpha Group,Nagatomi,MMC,8.0,747182.0
2020-02-01,Alpha Group,Timezone,MMP,265.0,11925000.0
2020-02-01,Alpha Group,Toys Kingdom,MMC,1253.0,95678808.0
2020-02-01,Alpha Group,Vega,MMP,36.0,1752660.0
2020-02-01,Apolo,Alfamart,CVS,141600.0,5057732386.3125
2020-02-01,Apolo,Aeon,MMC,395.0,11355824.0
2020-02-01,Apolo,Brastagi,MMP,50.0,1367500.0
2020-02-01,Apolo,Central,MMC,100.0,3002402.0
2020-02-01,Apolo,Centro,MMC,336.0,10352366.0
2020-02-01,Apolo,Giant,MMP,5.0,124750.0
2020-02-01,Apolo,Hypermart,MMP,864.0,33482592.0
2020-02-01,Apolo,Indomaret,CVS,26832.0,959458674.65625
2020-02-01,Apolo,Indogrosir,CVS,4416.0,149621010.9375
2020-02-01,Apolo,Kkv,MMP,1156.0,22896240.0
2020-02-01,Apolo,Metro,MMC,212.0,6416362.0
2020-02-01,Apolo,Midi,CVS,9120.0,325331276.25
2020-02-01,Apolo,Nagatomi,MMC,31.0,1075056.0
2020-02-01,Apolo,Super Shopping,MMC,44.0,3143580.0
2020-02-01,Apolo,Timezone,MMP,474.0,9954000.0
2020-02-01,Apolo,Toys Kingdom,MMC,2924.0,82949379.0
2020-02-01,Apolo,Vega,MMP,96.0,3425760.0
2020-02-01,GreenLight,Metro,MMC,3.0,142242.0
2020-02-01,GreenLight,Toys Kingdom,MMC,1.0,46114.0
2020-02-01,HexBug,Aeon,MMC,47.0,9145731.0
2020-02-01,HexBug,Central,MMC,12.0,1490160.0
2020-02-01,HexBug,Centro,MMC,7.0,1364510.0
2020-02-01,HexBug,Metro,MMC,20.0,3862600.0
2020-02-01,HexBug,Nagatomi,MMC,2.0,478420.0
2020-02-01,HexBug,Toys Kingdom,MMC,376.0,48404038.0
